agentCount,defectorRatio,temptation,density,avgCompliance,defectorPercolationProb,geometricPercolationProb,avgLargestClusterFrac
60,0.90,1.10,0.6000,0.1025,0.1000,0.1500,0.8333
60,0.90,1.30,0.6000,0.1042,0.1500,0.2500,0.7975
60,0.90,1.50,0.6000,0.0825,0.1500,0.1500,0.8100
60,0.90,1.70,0.6000,0.1100,0.4000,0.4500,0.8308
60,0.90,2.00,0.6000,0.0875,0.3500,0.3500,0.8575
70,0.10,1.10,0.7000,0.9107,0.0000,0.4000,0.0314
70,0.10,1.30,0.7000,0.9164,0.0000,0.4000,0.0293
70,0.10,1.50,0.7000,0.8936,0.0000,0.2500,0.0407
70,0.10,1.70,0.7000,0.8971,0.0000,0.3500,0.0386
70,0.10,2.00,0.7000,0.9121,0.0000,0.4000,0.0343
70,0.20,1.10,0.7000,0.7857,0.0000,0.5500,0.0771
70,0.20,1.30,0.7000,0.8093,0.0000,0.4500,0.0750
70,0.20,1.50,0.7000,0.7936,0.0000,0.7000,0.0929
70,0.20,1.70,0.7000,0.8129,0.0000,0.4000,0.0721
70,0.20,2.00,0.7000,0.8200,0.0000,0.4500,0.0721
70,0.30,1.10,0.7000,0.7043,0.0000,0.4500,0.1321
70,0.30,1.30,0.7000,0.6907,0.0000,0.4000,0.1100
70,0.30,1.50,0.7000,0.6893,0.0000,0.4500,0.1236
70,0.30,1.70,0.7000,0.6957,0.0000,0.4000,0.1243
70,0.30,2.00,0.7000,0.7014,0.0000,0.3000,0.1279
70,0.40,1.10,0.7000,0.6100,0.0000,0.3500,0.2136
70,0.40,1.30,0.7000,0.5850,0.0500,0.3500,0.2736
70,0.40,1.50,0.7000,0.6014,0.0000,0.3000,0.2129
70,0.40,1.70,0.7000,0.5921,0.0500,0.3000,0.2543
70,0.40,2.00,0.7000,0.6057,0.0000,0.3000,0.2400
70,0.50,1.10,0.7000,0.5021,0.0000,0.3000,0.3121
70,0.50,1.30,0.7000,0.5021,0.0000,0.3500,0.2693
70,0.50,1.50,0.7000,0.5121,0.1000,0.4000,0.3086
70,0.50,1.70,0.7000,0.5257,0.0000,0.4500,0.3243
70,0.50,2.00,0.7000,0.5043,0.1000,0.5500,0.3314
70,0.60,1.10,0.7000,0.4071,0.0500,0.5000,0.4614
70,0.60,1.30,0.7000,0.3986,0.1000,0.3500,0.4929
70,0.60,1.50,0.7000,0.3936,0.1000,0.4500,0.4879
70,0.60,1.70,0.7000,0.4000,0.1000,0.3000,0.4971
70,0.60,2.00,0.7000,0.4171,0.0000,0.4000,0.4257
70,0.70,1.10,0.7000,0.3021,0.2000,0.3500,0.6236
70,0.70,1.30,0.7000,0.3029,0.1500,0.3500,0.5914
70,0.70,1.50,0.7000,0.3064,0.0000,0.3500,0.6150
70,0.70,1.70,0.7000,0.2814,0.3500,0.5500,0.6400
70,0.70,2.00,0.7000,0.3000,0.1500,0.4500,0.5821
70,0.80,1.10,0.7000,0.1864,0.3500,0.4500,0.7914
70,0.80,1.30,0.7000,0.2014,0.2000,0.4000,0.7664
70,0.80,1.50,0.7000,0.1957,0.1500,0.4000,0.7771
70,0.80,1.70,0.7000,0.1721,0.4000,0.4000,0.8050
70,0.80,2.00,0.7000,0.2007,0.4000,0.6000,0.7357
70,0.90,1.10,0.7000,0.0893,0.4500,0.5000,0.8771
70,0.90,1.30,0.7000,0.0836,0.4000,0.5000,0.8907
70,0.90,1.50,0.7000,0.1121,0.3500,0.4000,0.8636
70,0.90,1.70,0.7000,0.0957,0.5500,0.5500,0.8879
70,0.90,2.00,0.7000,0.0957,0.4000,0.4500,0.8821
80,0.10,1.10,0.8000,0.9119,0.0000,0.5000,0.0363
80,0.10,1.30,0.8000,0.9081,0.0000,0.5500,0.0350
80,0.10,1.50,0.8000,0.8913,0.0000,0.4500,0.0344
80,0.10,1.70,0.8000,0.8938,0.0000,0.2500,0.0375
80,0.10,2.00,0.8000,0.8919,0.0000,0.4500,0.0369
80,0.20,1.10,0.8000,0.8038,0.0000,0.3500,0.0669
80,0.20,1.30,0.8000,0.7844,0.0000,0.6000,0.0856
80,0.20,1.50,0.8000,0.8069,0.0000,0.5500,0.0700
80,0.20,1.70,0.8000,0.8019,0.0000,0.5000,0.0744
80,0.20,2.00,0.8000,0.8000,0.0000,0.6000,0.0688
80,0.30,1.10,0.8000,0.6956,0.0000,0.2500,0.1594
80,0.30,1.30,0.8000,0.6862,0.0000,0.3500,0.1625
80,0.30,1.50,0.8000,0.7106,0.0000,0.6000,0.1425
80,0.30,1.70,0.8000,0.7081,0.0000,0.6000,0.1381
80,0.30,2.00,0.8000,0.7050,0.0000,0.6000,0.1269
80,0.40,1.10,0.8000,0.5994,0.0000,0.7000,0.2525
80,0.40,1.30,0.8000,0.6163,0.0500,0.4000,0.2569
80,0.40,1.50,0.8000,0.6025,0.1000,0.5500,0.2506
80,0.40,1.70,0.8000,0.6250,0.0000,0.5000,0.2319
80,0.40,2.00,0.8000,0.5781,0.0000,0.6000,0.2969
80,0.50,1.10,0.8000,0.5156,0.1000,0.3500,0.3500
80,0.50,1.30,0.8000,0.4975,0.0500,0.3000,0.3544
80,0.50,1.50,0.8000,0.4925,0.0000,0.4000,0.3769
80,0.50,1.70,0.8000,0.5219,0.1000,0.6500,0.3550
80,0.50,2.00,0.8000,0.4944,0.1000,0.6000,0.3850
80,0.60,1.10,0.8000,0.4006,0.2000,0.4500,0.5600
80,0.60,1.30,0.8000,0.4200,0.2000,0.4500,0.5050
80,0.60,1.50,0.8000,0.4156,0.1500,0.5500,0.4950
80,0.60,1.70,0.8000,0.3744,0.2500,0.6500,0.5694
80,0.60,2.00,0.8000,0.4081,0.3000,0.6000,0.5088
80,0.70,1.10,0.8000,0.3181,0.3500,0.6000,0.6606
80,0.70,1.30,0.8000,0.2800,0.1500,0.4000,0.6700
80,0.70,1.50,0.8000,0.2881,0.2000,0.5000,0.6575
80,0.70,1.70,0.8000,0.2950,0.3000,0.5000,0.6513
80,0.70,2.00,0.8000,0.2956,0.2500,0.3500,0.6669
80,0.80,1.10,0.8000,0.2031,0.2000,0.4000,0.7775
80,0.80,1.30,0.8000,0.2006,0.4000,0.5000,0.7788
80,0.80,1.50,0.8000,0.1869,0.2500,0.4000,0.7888
80,0.80,1.70,0.8000,0.2094,0.4000,0.4500,0.7738
80,0.80,2.00,0.8000,0.2081,0.2500,0.4500,0.7675
80,0.90,1.10,0.8000,0.1056,0.4500,0.5000,0.8856
80,0.90,1.30,0.8000,0.1081,0.5500,0.5500,0.8850
80,0.90,1.50,0.8000,0.1069,0.6000,0.6000,0.8850
80,0.90,1.70,0.8000,0.0975,0.3500,0.3500,0.8975
80,0.90,2.00,0.8000,0.1094,0.3500,0.4000,0.8719
90,0.10,1.10,0.9000,0.9106,0.0000,0.6000,0.0317
90,0.10,1.30,0.9000,0.9044,0.0000,0.5500,0.0344
90,0.10,1.50,0.9000,0.8989,0.0000,0.6000,0.0356
90,0.10,1.70,0.9000,0.9044,0.0000,0.7000,0.0350
90,0.10,2.00,0.9000,0.8883,0.0000,0.5500,0.0389
90,0.20,1.10,0.9000,0.7972,0.0000,0.6000,0.0833
90,0.20,1.30,0.9000,0.8006,0.0000,0.6000,0.0928
90,0.20,1.50,0.9000,0.8006,0.0000,0.3500,0.0822
90,0.20,1.70,0.9000,0.7989,0.0000,0.6000,0.0772
90,0.20,2.00,0.9000,0.8111,0.0000,0.6500,0.0906
90,0.30,1.10,0.9000,0.6928,0.0000,0.7000,0.1333
90,0.30,1.30,0.9000,0.6983,0.0000,0.6000,0.1794
90,0.30,1.50,0.9000,0.6944,0.0500,0.6500,0.1650
90,0.30,1.70,0.9000,0.7117,0.0000,0.5000,0.1600
90,0.30,2.00,0.9000,0.6878,0.0000,0.6000,0.1456
90,0.40,1.10,0.9000,0.6044,0.0000,0.5000,0.2817
90,0.40,1.30,0.9000,0.6100,0.0500,0.5000,0.2650
90,0.40,1.50,0.9000,0.6011,0.0500,0.6500,0.2572
90,0.40,1.70,0.9000,0.5844,0.0000,0.5500,0.2972
90,0.40,2.00,0.9000,0.6094,0.0500,0.6000,0.2633
90,0.50,1.10,0.9000,0.4956,0.1500,0.6500,0.4050
90,0.50,1.30,0.9000,0.5328,0.0000,0.4500,0.3889
90,0.50,1.50,0.9000,0.5017,0.1500,0.5000,0.4178
